year,league,player_id,player_name_ja,changed_cols,old,new,html,csv_file
1957,PL,51353809,海野　尚武,H|HR|BB|SO,4|+|0||3|0|1|0|0|3|2|----,4|+|3|0|1|0|0|0|0|3|2|----,1957|東　映|1|0|0||||0|0|0|.000|4|+||+|3|0|1|0|0|0|0|3|2|----,_data\master_csv__rescrape_staging\pitching_1957_PL_from_master.csv
1958,CL,71073800,佐川　守一,H|HR|BB|SO,3|+|0||1|0|2|0|0|3|2|----,3|+|1|0|2|0|0|0|0|3|2|----,1958|広　島|1|0|0||||0|0|0|.000|3|+||+|1|0|2|0|0|0|0|3|2|----,_data\master_csv__rescrape_staging\pitching_1958_CL_from_master.csv
1958,PL,81483804,衆樹　資宏,H|HR|BB|SO|WP,3|+|0||1|0|2|0|0|1|1|----,3|+|1|0|2|0|0|1|0|1|1|----,1958|大　毎|1|0|0||||0|0|0|.000|3|+||+|1|0|2|0|0|1|0|1|1|----,_data\master_csv__rescrape_staging\pitching_1958_PL_from_master.csv
1960,CL,91393821,金子　哲夫,H|HR|BB,3|+|0||3|0|0|0|0|2|2|----,3|+|3|0|0|0|0|0|0|2|2|----,1960|阪　神|1|0|0||||0|0|0|.000|3|+||+|3|0|0|0|0|0|0|2|2|----,_data\master_csv__rescrape_staging\pitching_1960_CL_from_master.csv
1960,CL,01303821,神垣　雅詔,HR|BB|SO,2|+|0||0|0|2|0|0|0|0|0.0,2|+|0|0|2|0|0|0|0|0|0|0.0,1960|広　島|1|0|0||||0|0|0|.000|2|+||+|0|0|2|0|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1960_CL_from_master.csv
1960,CL,51353808,浦西　美治,H|HR|SO|WP,4|+|0||2|0|2|0|0|2|2|----,4|+|2|0|2|0|0|1|0|2|2|----,1960|中　日|2|0|0||||0|0|0|.000|4|+||+|2|0|2|0|0|1|0|2|2|----,_data\master_csv__rescrape_staging\pitching_1960_CL_from_master.csv
1960,PL,31033821,長谷川　武,H|HR|BB|HBP,3|+|0||2|1|0|0|0|3|2|----,3|+|2|1|0|0|0|0|0|3|2|----,1960|大　毎|1|0|0||||0|0|0|.000|3|+||+|2|1|0|0|0|0|0|3|2|----,_data\master_csv__rescrape_staging\pitching_1960_PL_from_master.csv
1961,CL,21523821,近藤　隆正,H|HR|BB|SO,3|+|0||2|0|1|0|0|3|1|----,3|+|2|0|1|0|0|0|0|3|1|----,1961|読　売|1|0|0||||0|0|0|.000|3|+||+|2|0|1|0|0|0|0|3|1|----,_data\master_csv__rescrape_staging\pitching_1961_CL_from_master.csv
1961,PL,91193823,井上　勝巳,HR|BB|SO|WP,2|+|0||0|0|2|0|0|0|0|0.0,2|+|0|0|2|0|0|1|0|0|0|0.0,1961|大　毎|1|0|0||||0|0|0|.000|2|+||+|0|0|2|0|0|1|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1961_PL_from_master.csv
1962,CL,93193825,森田　斌,HR|BB|SO,1|+|0||0|0|1|0|0|0|0|0.0,1|+|0|0|1|0|0|0|0|0|0|0.0,1962|大　洋|1|0|0||||0|0|0|.000|1|+||+|0|0|1|0|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1962_CL_from_master.csv
1962,CL,53153825,村上　俊義,HR|BB|SO,1|+|0||0|0|1|0|0|0|0|0.0,1|+|0|0|1|0|0|0|0|0|0|0.0,1962|阪　神|1|0|0||||0|0|0|.000|1|+||+|0|0|1|0|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1962_CL_from_master.csv
1962,PL,01203804,福田　昌久,HR|HBP|WP,1|+|0||0|0|0|1|0|0|0|0.0,1|+|0|0|0|1|0|0|0|0|0|0.0,1962|南　海|1|0|0||||0|0|0|.000|1|+||+|0|0|0|1|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1962_PL_from_master.csv
1963,PL,01703827,長南　恒夫,H|HR|BB|HBP,2|+|0||2|1|0|0|0|1|1|----,2|+|2|1|0|0|0|0|0|1|1|----,1963|東　映|1|0|0||||0|0|0|.000|2|+||+|2|1|0|0|0|0|0|1|1|----,_data\master_csv__rescrape_staging\pitching_1963_PL_from_master.csv
1964,PL,21223827,吉田　勝彦,HR|BB|SO,3|+|0||0|0|3|0|0|1|1|----,3|+|0|0|3|0|0|0|0|1|1|----,1964|近　鉄|1|0|0||||0|0|0|.000|3|+||+|0|0|3|0|0|0|0|1|1|----,_data\master_csv__rescrape_staging\pitching_1964_PL_from_master.csv
1965,CL,91593820,倉田　誠,HR|BB|SO,2|+|0||0|0|2|0|0|0|0|0.0,2|+|0|0|2|0|0|0|0|0|0|0.0,1965|読　売|1|0|0||||0|0|0|.000|2|+||+|0|0|2|0|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1965_CL_from_master.csv
1965,CL,11513820,門谷　昭,HR|BB|SO,1|+|0||0|0|1|0|0|1|1|----,1|+|0|0|1|0|0|0|0|1|1|----,1965|広　島|1|0|0||||0|0|0|.000|1|+||+|0|0|1|0|0|0|0|1|1|----,_data\master_csv__rescrape_staging\pitching_1965_CL_from_master.csv
1966,PL,71073820,橋本　孝志,H|HR|BB|SO,3|+|0||2|0|1|0|0|3|2|----,3|+|2|0|1|0|0|0|0|3|2|----,1966|近　鉄|1|0|0||||0|0|0|.000|3|+||+|2|0|1|0|0|0|0|3|2|----,_data\master_csv__rescrape_staging\pitching_1966_PL_from_master.csv
1967,CL,81983824,橋本　勝隆,HR|BB|SO,1|+|0||0|0|1|0|0|0|0|0.0,1|+|0|0|1|0|0|0|0|0|0|0.0,1967|中　日|1|0|0||||0|0|0|.000|1|+||+|0|0|1|0|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1967_CL_from_master.csv
1968,CL,51653829,吉沢　秀和,H|HR|BB,2|+|0||2|0|0|0|0|0|0|0.0,2|+|2|0|0|0|0|0|0|0|0|0.0,1968|読　売|1|0|0||||0|0|0|.000|2|+||+|2|0|0|0|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1968_CL_from_master.csv
1970,CL,41143822,鏑木　悦純,H|HR|BB,4|+|0||4|0|0|0|0|1|1|----,4|+|4|0|0|0|0|0|0|1|1|----,1970|阪　神|1|0|0||||0|0|0|.000|4|+||+|4|0|0|0|0|0|0|1|1|----,_data\master_csv__rescrape_staging\pitching_1970_CL_from_master.csv
1971,CL,81583808,河村　保彦,H|HR|BB,2|+|0||2|0|0|0|0|0|0|0.0,2|+|2|0|0|0|0|0|0|0|0|0.0,1971|ヤクルト|1|0|0||||0|0|0|.000|2|+||+|2|0|0|0|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1971_CL_from_master.csv
1971,CL,01203843,三橋　豊夫,HR|BB|SO,1|+|0||0|0|1|0|0|1|1|----,1|+|0|0|1|0|0|0|0|1|1|----,1971|ヤクルト|1|0|0||||0|0|0|.000|1|+||+|0|0|1|0|0|0|0|1|1|----,_data\master_csv__rescrape_staging\pitching_1971_CL_from_master.csv
1972,CL,41943845,永射　保,H|HR|BB,1|+|0||1|0|0|0|0|1|1|----,1|+|1|0|0|0|0|0|0|1|1|----,1972|広島東洋|1|0|0||||0|0|0|.000|1|+||+|1|0|0|0|0|0|0|1|1|----,_data\master_csv__rescrape_staging\pitching_1972_CL_from_master.csv
1973,CL,71773843,佐藤　政夫,H|HR|BB,1|+|0||1|0|0|0|0|0|0|0.0,1|+|1|0|0|0|0|0|0|0|0|0.0,1973|ロッテ|1|0|0||||0|0|0|.000|1|+||+|1|0|0|0|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1973_CL_from_master.csv
1973,PL,71773843,佐藤　政夫,H|HR|BB,1|+|0||1|0|0|0|0|0|0|0.0,1|+|1|0|0|0|0|0|0|0|0|0.0,1973|ロッテ|1|0|0||||0|0|0|.000|1|+||+|1|0|0|0|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1973_PL_from_master.csv
1974,CL,71073825,杉山　重雄,HR|BB|SO,1|+|0||0|0|1|0|0|1|0|0.0,1|+|0|0|1|0|0|0|0|1|0|0.0,1974|ヤクルト|1|0|0|0|||0|0|0|.000|1|+||+|0|0|1|0|0|0|0|1|0|0.00,_data\master_csv__rescrape_staging\pitching_1974_CL_from_master.csv
1978,PL,41943827,長谷川　一夫,H|HR|BB,1|+|0||1|0|0|0|0|0|0|0.0,1|+|1|0|0|0|0|0|0|0|0|0.0,1978|クラウン|1|0|0|0|||0|0|0|.000|1|+||+|1|0|0|0|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1978_PL_from_master.csv
1982,CL,01303861,片岡　大蔵,H|HR|BB|SO,3|+|0||2|0|1|0|0|1|1|----,3|+|2|0|1|0|0|0|0|1|1|----,1982|ヤクルト|1|0|0|0|||0|0|0|.000|3|+||+|2|0|1|0|0|0|0|1|1|----,_data\master_csv__rescrape_staging\pitching_1982_CL_from_master.csv
1984,CL,81583848,高橋　三千丈,H|HR|BB|SO,3|+|0||1|0|2|0|0|2|2|----,3|+|1|0|2|0|0|0|0|2|2|----,1984|中　日|1|0|0|0|||0|0|0|.000|3|+||+|1|0|2|0|0|0|0|2|2|----,_data\master_csv__rescrape_staging\pitching_1984_CL_from_master.csv
