layer,file,year,league,ERA_col,ER_col,IP_col,R_col,total_rows,era_numeric,era_equals_er,era_equals_r,era_calc_mismatch,era_too_high,suspicious,headers
staging,_data\master_csv__rescrape_staging\pitching_1963_CL_from_master.csv,1963,CL,ERA,ER,IP,R,83,83,3,2,23,1,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1963_PL_from_master.csv,1963,PL,ERA,ER,IP,R,83,82,4,4,24,0,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1964_CL_from_master.csv,1964,CL,ERA,ER,IP,R,84,84,5,5,11,1,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1964_PL_from_master.csv,1964,PL,ERA,ER,IP,R,82,81,8,6,14,1,3,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1965_CL_from_master.csv,1965,CL,ERA,ER,IP,R,86,85,7,7,13,0,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1965_PL_from_master.csv,1965,PL,ERA,ER,IP,R,78,78,2,0,14,2,3,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1966_CL_from_master.csv,1966,CL,ERA,ER,IP,R,84,84,5,4,18,2,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1966_PL_from_master.csv,1966,PL,ERA,ER,IP,R,73,72,4,4,12,0,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1967_CL_from_master.csv,1967,CL,ERA,ER,IP,R,90,90,5,5,25,1,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1967_PL_from_master.csv,1967,PL,ERA,ER,IP,R,79,79,6,3,17,1,3,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
