player_id,name_ja,status,roman_skipped,roman_short,birth_date_raw,pro_debut_raw,career_raw,network
11013867,中条　善伸,ok,True,Y.Nakajou,1962年4月12日,1980年ドラフト外,東北高,0
11013869,中村　稔,ok,True,M.Nakamura,1963年12月11日,1981年ドラフト3位,名古屋電気高,0
11013874,西沢　道夫,ok,True,M.Nishizawa,1921年9月1日,,鹿児島総合中,0
11013880,丸尾　英司,ok,True,E.Maruo,1972年4月26日,1994年ドラフト2位,姫路南高 - 佛教大,0
11013881,鈴木　望,ok,True,N.Suzuki,1967年5月2日,1989年ドラフト5位,星稜高 - 駒沢大,0
11013882,平下　晃司,ok,True,K.Hirashita,1978年2月1日,1995年ドラフト5位,日南学園高,0
11013883,吉井　英昭,ok,True,H.Yoshii,1972年4月3日,1990年ドラフト4位,苫小牧工,0
11013884,濱中　治,ok,True,O.Hamanaka,1978年7月9日,1996年ドラフト3位,南部高,0
11013886,寺村　友和,ok,True,T.Teramura,1974年4月22日,1997年ドラフト2位,千葉商 - 本田技研,0
11013887,成本　年秀,ok,True,T.Narimoto,1968年9月11日,1992年ドラフト2位,西宮東高 - 京都産業大 - 大阪ガス,0
11013888,福本　誠,ok,True,M.Fukumoto,1976年7月14日,1998年ドラフト4位,法政二高 - 法政大,0
11013889,的山　哲也,ok,True,T.Matoyama,1970年10月1日,1993年ドラフト4位,福崎高 - 新日鉄広畑,0
11013892,一言　多十,ok,True,T.Hitokoto,1921年5月1日,,島田商 - 専修大,0
11013895,安居　玉一,ok,True,T.Yasui,1922年10月10日,,東邦商,0
11013896,渡辺　一衛,ok,True,K.Watanabe,1924年9月9日,,新潟・高田中 - 大連満倶,0
11015110,手嶌　智,ok,True,S.Tejima,1982年6月16日,2004年ドラフト自由枠,拓大紅陵高 - 新日本石油,0
11015112,高宮　和也,ok,True,K.Takamiya,1981年12月4日,2005年大学生・社会人ドラフト希望枠,大体大浪商高 - 徳山大 - ホンダ鈴鹿,0
11015115,辻　俊哉,ok,True,T.Tsuji,1979年7月14日,2001年ドラフト5巡目,甲府工 - 国士舘大,0
11015116,田中　健二朗,ok,True,K.Tanaka,1989年9月18日,2007年高校生ドラフト1巡目,常葉菊川高,0
11015117,塩屋　大輔,ok,True,D.Shioya,1976年9月6日,2002年ドラフト7巡目,明徳義塾高 - 亜細亜大 - 米独立リーグ,0
11015119,成瀬　善久,ok,True,Y.Naruse,1985年10月13日,2003年ドラフト6巡目,横浜高,0
11015130,瀬川　隼郎,ok,True,H.Segawa,1986年10月21日,2014年ドラフト5位,北海高 - 室蘭シャークス,0
11015132,関谷　亮太,ok,True,R.Sekiya,1991年5月10日,2015年ドラフト2位,日大三高 - 明治大 - JR東日本,0
11015133,塩見　貴洋,ok,True,T.Shiomi,1988年9月6日,2010年ドラフト1位,帝京五高 - 八戸大,0
11015137,戸田　亮,ok,True,R.Toda,1988年9月4日,2012年ドラフト6位,東京・大成高 - 高千穂大 - JR東日本,0
11015139,東明　大貴,ok,True,D.Toumei,1989年6月15日,2013年ドラフト2位,富田高 - 桐蔭横浜大 - 富士重工,0
11015155,代木　大和,ok,True,Y.Shiroki,2003年9月8日,2021年ドラフト6位,明徳義塾高,0
1103800,新井　茂,ok,True,S.Arai,1935年9月29日,,藤岡高 - 高崎鉄道局,0
1103801,荒巻　淳,ok,True,A.Aramaki,1926年11月16日,,大分商 - 大分経専 - 別府星野組,0
1103802,秋山　登,ok,True,N.Akiyama,1934年2月3日,,岡山東高 - 明治大,0
1103803,飯尾　為男,ok,True,T.Iio,1933年10月15日,,新居浜東高,0
1103804,伊香　輝男,ok,True,T.Ikou,1934年4月9日,,同志社香里高 - 同志社大,0
1103805,稲垣　定雄,ok,True,S.Inagaki,1923年4月18日,,高松中 - 中央大 - 琴平電鉄,0
1103806,井石　広一,ok,True,H.Iishi,1937年11月23日,,長野・赤穂高,0
1103808,麻生　実男,ok,True,J.Asou,1937年12月17日,,盈進商 - 倉敷レーヨン,0
1103809,飯山　平一,ok,True,H.Iiyama,1935年2月3日,,春日部高,0
1103820,井上　修,ok,True,O.Inoue,1946年7月20日,,福岡電波高,0
1103821,井上　善夫,ok,True,Y.Inoue,1941年9月27日,,日大二高,0
1103822,大塚　弥寿男,ok,True,Y.Ootsuka,1943年9月8日,1965年ドラフト1位,浪商高 - 早稲田大,0
1103823,伊藤　勲,ok,True,I.Itou,1942年5月14日,,東北高,0
1103824,荒武　康博,ok,True,Y.Aratake,1948年9月14日,1966年二次ドラフト1位,報徳学園高,0
1103825,安藤　元博,ok,True,M.Andou,1939年10月26日,,坂出商 - 早稲田大,0
1103826,五十嵐　英夫,ok,True,H.Igarashi,1945年11月25日,1967年ドラフト7位,武相高 - 神奈川大,0
1103827,G.ウイルソン,ok,True,G.Wilson,1925年8月30日,,チェリウィル高 - ホワイトソックス - ジャイアンツ - ヤンキース,0
1103828,井上　幸信,ok,True,Y.Inoue,1950年9月25日,1968年ドラフト3位,尾道商,0
1103829,新井　彰,ok,True,A.Arai,1939年9月19日,,銚子商 - 昭和鉄管,0
