name_norm,birth_date_raw,player_id,name_ja,pro_debut_raw,career_raw,path
"植田海","1996年4月19日","1305130","植田　海","2014年ドラフト5位","近江高","_data\derived\player_profile\merged\npb_1305130.json"
"横山楓","1997年12月28日","03505155","横山 楓","2021年ドラフト6位","宮崎学園高 - 国学院大 - セガサミー","_data\derived\player_profile\merged\npb_03505155.json"
"横山楓","1997年12月28日","3505155","横山　楓","2021年ドラフト6位","宮崎学園高 - 国学院大 - セガサミー","_data\derived\player_profile\merged\npb_3505155.json"
"武藤敦貴","2001年6月15日","01805151","武藤 敦貴","2019年ドラフト4位","都城東高","_data\derived\player_profile\merged\npb_01805151.json"
"武藤敦貴","2001年6月15日","1805151","武藤　敦貴","2019年ドラフト4位","都城東高","_data\derived\player_profile\merged\npb_1805151.json"
"池田隆英","1994年10月1日","01105134","池田 隆英","2016年ドラフト2位","創価高 - 創価大","_data\derived\player_profile\merged\npb_01105134.json"
"池田隆英","1994年10月1日","1105134","池田　隆英","2016年ドラフト2位","創価高 - 創価大","_data\derived\player_profile\merged\npb_1105134.json"
"泉圭輔","1997年3月2日","01105138","泉 圭輔","2018年ドラフト6位","金沢西高 - 金沢星稜大","_data\derived\player_profile\merged\npb_01105138.json"
"泉圭輔","1997年3月2日","1105138","泉　圭輔","2018年ドラフト6位","金沢西高 - 金沢星稜大","_data\derived\player_profile\merged\npb_1105138.json"
"清水達也","1999年11月3日","01905136","清水 達也","2017年ドラフト4位","花咲徳栄高","_data\derived\player_profile\merged\npb_01905136.json"
"清水達也","1999年11月3日","1905136","清水　達也","2017年ドラフト4位","花咲徳栄高","_data\derived\player_profile\merged\npb_1905136.json"
"澤田圭佑","1994年4月27日","01905134","澤田 圭佑","2016年ドラフト8位","大阪桐蔭高 - 立教大","_data\derived\player_profile\merged\npb_01905134.json"
"澤田圭佑","1994年4月27日","1905134","澤田　圭佑","2016年ドラフト8位","大阪桐蔭高 - 立教大","_data\derived\player_profile\merged\npb_1905134.json"
"田中晴也","2004年6月6日","01005157","田中 晴也","2022年ドラフト3位","日本文理高","_data\derived\player_profile\merged\npb_01005157.json"
"田中晴也","2004年6月6日","1005157","田中　晴也","2022年ドラフト3位","日本文理高","_data\derived\player_profile\merged\npb_1005157.json"
"石塚綜一郎","2001年6月7日","01105151","石塚 綜一郎","2019年育成選手ドラフト1位","黒沢尻工","_data\derived\player_profile\merged\npb_01105151.json"
"石塚綜一郎","2001年6月7日","1105151","石塚　綜一郎","2019年育成選手ドラフト1位","黒沢尻工","_data\derived\player_profile\merged\npb_1105151.json"
"石川慎吾","1993年4月27日","01105135","石川 慎吾","2011年ドラフト3位","東大阪大柏原高","_data\derived\player_profile\merged\npb_01105135.json"
"石川慎吾","1993年4月27日","1105135","石川　慎吾","2011年ドラフト3位","東大阪大柏原高","_data\derived\player_profile\merged\npb_1105135.json"
"石黒佑弥","2001年6月20日","01105159","石黒 佑弥","2023年ドラフト5位","星城高 - JR西日本","_data\derived\player_profile\merged\npb_01105159.json"
"石黒佑弥","2001年6月20日","1105159","石黒　佑弥","2023年ドラフト5位","星城高 - JR西日本","_data\derived\player_profile\merged\npb_1105159.json"
"西野勇士","1991年3月6日","01205118","西野 勇士","2008年育成選手ドラフト5位","新湊高","_data\derived\player_profile\merged\npb_01205118.json"
"西野勇士","1991年3月6日","1205118","西野　勇士","2008年育成選手ドラフト5位","新湊高","_data\derived\player_profile\merged\npb_1205118.json"
"辛島航","1990年10月18日","01505118","辛島 航","2008年ドラフト6位","飯塚高","_data\derived\player_profile\merged\npb_01505118.json"
"辛島航","1990年10月18日","1505118","辛島　航","2008年ドラフト6位","飯塚高","_data\derived\player_profile\merged\npb_1505118.json"
"達孝太","2004年3月27日","01205155","達 孝太","2021年ドラフト1位","天理高","_data\derived\player_profile\merged\npb_01205155.json"
"達孝太","2004年3月27日","1205155","達　孝太","2021年ドラフト1位","天理高","_data\derived\player_profile\merged\npb_1205155.json"
"野間峻祥","1993年1月28日","01405130","野間 峻祥","2014年ドラフト1位","村野工 - 中部学院大","_data\derived\player_profile\merged\npb_01405130.json"
"野間峻祥","1993年1月28日","1405130","野間　峻祥","2014年ドラフト1位","村野工 - 中部学院大","_data\derived\player_profile\merged\npb_1405130.json"
"鈴木叶","2006年3月21日","01005159","鈴木 叶","2023年ドラフト4位","常葉大菊川高","_data\derived\player_profile\merged\npb_01005159.json"
"鈴木叶","2006年3月21日","1005159","鈴木　叶","2023年ドラフト4位","常葉大菊川高","_data\derived\player_profile\merged\npb_1005159.json"
"鈴木翔天","1996年8月19日","01905138","鈴木 翔天","2018年ドラフト8位","向上高 - 富士大","_data\derived\player_profile\merged\npb_01905138.json"
"鈴木翔天","1996年8月19日","1905138","鈴木　翔天","2018年ドラフト8位","向上高 - 富士大","_data\derived\player_profile\merged\npb_1905138.json"
"阿部翔太","1992年11月3日","01105153","阿部 翔太","2020年ドラフト6位","酒田南高 - 成美大 - 日本生命","_data\derived\player_profile\merged\npb_01105153.json"
"阿部翔太","1992年11月3日","1105153","阿部　翔太","2020年ドラフト6位","酒田南高 - 成美大 - 日本生命","_data\derived\player_profile\merged\npb_1105153.json"
"高橋昂也","1998年9月27日","01005134","高橋 昂也","2016年ドラフト2位","花咲徳栄高","_data\derived\player_profile\merged\npb_01005134.json"
"高橋昂也","1998年9月27日","1005134","高橋　昂也","2016年ドラフト2位","花咲徳栄高","_data\derived\player_profile\merged\npb_1005134.json"
"黒川史陽","2001年4月17日","01905151","黒川 史陽","2019年ドラフト2位","智弁和歌山高","_data\derived\player_profile\merged\npb_01905151.json"
"黒川史陽","2001年4月17日","1905151","黒川　史陽","2019年ドラフト2位","智弁和歌山高","_data\derived\player_profile\merged\npb_1905151.json"
