file,name,team,old_playerId,new_playerId,romanName,source
public\data\rankings\2025\PL\打点.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\打点_all.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\打率.json,ネビン,埼玉西武ライオンズ,player-2,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\打率_all.json,ネビン,埼玉西武ライオンズ,player-2,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\打率__qualified.json,ネビン,埼玉西武ライオンズ,player-2,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\敬遠.json,ネビン,埼玉西武ライオンズ,player-8,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\敬遠_all.json,ネビン,埼玉西武ライオンズ,player-8,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\本塁打.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\本塁打_all.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\死球.json,ネビン,埼玉西武ライオンズ,player-1,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\死球_all.json,ネビン,埼玉西武ライオンズ,player-1,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\犠打.json,ネビン,埼玉西武ライオンズ,player-16,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\犠打_all.json,ネビン,埼玉西武ライオンズ,player-16,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\犠飛.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\犠飛_all.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\盗塁.json,ネビン,埼玉西武ライオンズ,player-15,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\盗塁_all.json,ネビン,埼玉西武ライオンズ,player-15,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\盗塁死.json,ネビン,埼玉西武ライオンズ,player-15,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\盗塁死_all.json,ネビン,埼玉西武ライオンズ,player-15,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\試合.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\試合_all.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\長打率.json,ネビン,埼玉西武ライオンズ,player-2,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\長打率_all.json,ネビン,埼玉西武ライオンズ,player-2,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\長打率__qualified.json,ネビン,埼玉西武ライオンズ,player-2,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
