npb_player_id,status,birth_date_raw,pro_debut_raw,career_raw
"11213886","ok","1979年11月28日","1997年ドラフト3位","興誠高"
"11213889","ok","1975年6月3日","1993年ドラフト4位","国東高"
"11215110","ok","1980年4月28日","2004年ドラフト4巡目","久御山高 - 東北福祉大 - 日本新薬"
"11215112","ok","1984年9月30日","2005年育成選手ドラフト1巡目","仙台育英高 - 立命館大中退 - 四国・愛媛"
"11215113","ok","1977年12月4日","2000年ドラフト6位","八代東高 - 新日鉄君津"
"11215114","ok","1988年11月1日","2006年高校生ドラフト1巡目","駒大苫小牧高"
"11215115","ok","1983年9月24日","2001年ドラフト5巡目","神埼高"
"11215116","ok","1989年11月5日","2007年高校生ドラフト3巡目","帝京高"
"11215118","ok","1991年1月11日","2008年ドラフト5位","福岡工"
"11215119","ok","1981年12月8日","2003年ドラフト自由枠","熊本市立高 - 九州共立大"
"11215131","ok","1991年4月23日","2009年ドラフト4位","帝京五高"
"11215132","ok","1997年4月16日","2015年ドラフト3位","豊橋中央高"
"11215133","ok","1989年6月16日","2010年ドラフト7位","生光学園高 - 大阪商業大中退 - 四国・徳島"
"11215134","ok","1994年8月8日","2016年ドラフト3位","西南学院高 - 立教大"
"11215135","ok","1989年7月23日","2011年ドラフト3位","古河一高 - 白鴎大"
"11215137","ok","1994年7月29日","2012年ドラフト2位","光星学院高"
"11215138","ok","2000年6月20日","2018年ドラフト3位","松商学園高"
"11215151","ok","1997年12月11日","2019年ドラフト3位","東海大甲府高 - 国士舘大"
"11215153","ok","1998年9月2日","2020年育成選手ドラフト5位","霞ヶ浦高 - 仙台大"
"11215155","ok","2003年8月12日","2021年ドラフト7位","県立岐阜商"
"11313884","ok","1979年2月9日","1996年ドラフト2位","宇和島東高"
"11313887","ok","1970年8月10日","1992年ドラフト7位","鹿沼商工 - 全足利"
"11313888","ok","1975年4月3日","1998年ドラフト1位","東海大仰星高 - 大阪体育大"
"11313889","ok","1976年2月13日","1993年ドラフト3位","育英高"
"11315110","ok","1986年10月31日","2004年ドラフト1巡目","宇治山田商"
"11315112","ok","1987年5月24日","2005年高校生ドラフト2巡目","中越高"
"11315114","ok","1982年10月13日","2006年大学生・社会人ドラフト5巡目","行田工 - 国士舘大 - 三菱重工横浜硬式野球クラブ"
"11315115","ok","1980年1月22日","2001年ドラフト自由枠","秋田商 - 青山学院大"
"11315116","ok","1982年6月2日","2007年大学生・社会人ドラフト4巡目","東福岡高 - 国学院大 - JR東海"
"11315117","ok","1980年10月29日","2002年ドラフト10巡目","沼津学園高 - ローソン"
"11315118","ok","1986年11月4日","2008年ドラフト2位","岡山県共生高 - 関西国際大"
"11315130","ok","1993年3月1日","2014年ドラフト2位","広島工 - 法政大"
"11315131","ok","1991年7月25日","2009年ドラフト5位","盛岡大付高"
"11315132","ok","1997年4月25日","2015年ドラフト5位","霞ヶ浦高"
"11315134","ok","1998年5月25日","2016年ドラフト9位","岐阜・中京高"
"11315136","ok","1999年2月10日","2017年ドラフト3位","横芝敬愛高 - 四国・徳島"
"11315138","ok","1996年9月10日","2018年育成選手ドラフト1位","新潟明訓高 - 新潟医療福祉大"
"11315139","ok","1989年7月3日","2013年ドラフト5位","崇徳高 - 中央大 - 日本生命"
"11315150","ok","2003年2月10日","2024年ドラフト3位","常総学院高 - 東洋大"
"11315152","ok","2007年10月27日","2025年ドラフト5位","れいめい高"
"11315153","ok","1998年11月27日","2020年ドラフト2位","佐野日大高 - 中央大"
"11315157","ok","2004年9月2日","2022年ドラフト1位","誉高"
