file,name,team,old_player_id,new_player_id,roman_name
public\data\rankings\pitching\2006\CL\Ｓ.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\Ｓ_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\BB％.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\BB％_all.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\HLD.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\HLD_all.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\K-BB％.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\K-BB％_all.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\K％.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\K％_all.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\WHIP.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\WHIP_all.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\三振.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\三振_all.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\勝利.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\勝利_all.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\勝率.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\勝率_all.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\四球.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
public\data\rankings\pitching\2007\CL\四球_all.json,石川 雅規,東京ヤクルトスワローズ,player-78,11315115,M.Ishikawa
