player_id,name_ja,status,roman_skipped,roman_short,birth_date_raw,pro_debut_raw,career_raw,network
1405110,丸山　貴史,ok,True,T.Maruyama,1986年6月28日,2004年ドラフト6巡目,愛工大名電高,0
1405111,吉野　誠,ok,True,M.Yoshino,1977年11月19日,1999年ドラフト2位,大宮東高 - 日本大,0
1405112,星野　八千穂,ok,True,Y.Hoshino,1980年5月8日,2005年大学生・社会人ドラフト7巡目,丸子実 - 岐阜聖徳学園大 - JR北海道,0
1405116,松山　竜平,ok,True,R.Matsuyama,1985年9月18日,2007年大学生・社会人ドラフト4巡目,鹿屋中央高 - 九州国際大,0
1405118,R.フェルナンデス,ok,True,R.Fernandes,1986年4月23日,2008年育成選手ドラフト1位,カントリーキッズ高 - 白鴎大,0
1405130,野間　峻祥,ok,True,T.Noma,1993年1月28日,2014年ドラフト1位,村野工 - 中部学院大,0
1405131,松下　建太,ok,True,K.Matsushita,1987年8月17日,2009年ドラフト5位,明徳義塾高 - 早稲田大,0
1405132,野川　拓斗,ok,True,T.Nogawa,1991年9月6日,2015年ドラフト7位,川口青陵高 - 城西国際大 - 鷺宮製作所,0
1405133,星野　大地,ok,True,D.Hoshino,1993年3月13日,2010年ドラフト4位,岡山東商,0
1405134,中塚　駿太,ok,True,S.Nakatsuka,1994年12月26日,2016年ドラフト2位,つくば秀英高 - 白鴎大,0
1405135,西森　将司,ok,True,M.Nishimori,1987年12月29日,2011年育成選手ドラフト2位,北照高 - ホンダ - 四国・香川,0
1405136,西村　凌,ok,True,R.Nishimura,1996年2月21日,2017年ドラフト5位,青森山田高 - SUBARU,0
1405138,林　晃汰,ok,True,K.Hayashi,2000年11月16日,2018年ドラフト3位,智弁和歌山高,0
1405139,森　唯斗,ok,True,Y.Mori,1992年1月8日,2013年ドラフト2位,海部高 - 三菱自動車倉敷オーシャンズ,0
1405151,韮澤　雄也,ok,True,Y.Nirasawa,2001年5月20日,2019年ドラフト4位,花咲徳栄高,0
1405155,中村　健人,ok,True,K.Nakamura,1997年5月21日,2021年ドラフト3位,中京大中京高 - 慶応大 - トヨタ自動車,0
1405157,野口　恭佑,ok,True,K.Noguchi,2000年7月17日,2022年育成選手ドラフト1位,創成館高 - 九州産業大,0
1503880,斉藤　宜之,ok,True,T.Saitou,1976年6月10日,1994年ドラフト4位,横浜高,0
1503888,英智,ok,True,H.Hidenori（kuramoto,1976年5月9日,1998年ドラフト4位,県立岐阜商 - 名城大,0
1505110,木村　正太,ok,True,S.Kimura,1986年5月24日,2004年ドラフト5巡目,一関一高,0
1505111,佐藤　宏志,ok,True,H.Satou,1977年8月11日,1999年ドラフト3位,瀬戸内高 - 亜細亜大,0
1505112,金村　大裕,ok,True,D.Kanemura,1983年6月13日,2005年大学生・社会人ドラフト3巡目,上宮高 - 大阪商業大,0
1505114,大嶺　祐太,ok,True,Y.Oomine,1988年6月16日,2006年高校生ドラフト1巡目,八重山商工,0
1505116,加藤　幹典,ok,True,M.Katou,1985年6月4日,2007年大学生・社会人ドラフト1巡目,川和高 - 慶応大,0
1505118,辛島　航,ok,True,W.Karashima,1990年10月18日,2008年ドラフト6位,飯塚高,0
1505119,黒瀬　春樹,ok,True,H.Kurose,1985年4月15日,2003年ドラフト2巡目,県立岐阜商,0
1505130,笠谷　俊介,ok,True,S.Kasaya,1997年3月17日,2014年ドラフト4位,大分商,0
1505132,オコエ　瑠偉,ok,True,R.Okoe,1997年7月21日,2015年ドラフト1位,関東第一高,0
1505133,加賀美　希昇,ok,True,K.Kagami,1988年9月5日,2010年ドラフト2位,桐蔭学園高 - 法政大,0
1505134,神戸　文也,ok,True,F.Kanbe,1994年5月9日,2016年育成選手ドラフト3位,前橋育英高 - 立正大,0
1505136,北浦　竜次,ok,True,R.Kitaura,2000年1月12日,2017年ドラフト5位,白鴎大足利高,0
1505137,金子　侑司,ok,True,Y.Kaneko,1990年4月24日,2012年ドラフト3位,立命館宇治高 - 立命館大,0
1505138,片山　雄哉,ok,True,Y.Katayama,1994年6月18日,2018年育成選手ドラフト1位,刈谷工 - 至学館短大 - BC・福井,0
1505151,大関　友久,ok,True,T.Oozeki,1997年12月14日,2019年育成選手ドラフト2位,土浦湖北高 - 仙台大,0
1505155,上川畑　大悟,ok,True,D.Kamikawabata,1997年1月12日,2021年ドラフト9位,倉敷商 - 日本大 - NTT東日本,0
1505157,北村　恵吾,ok,True,K.Kitamura,2000年12月18日,2022年ドラフト5位,近江高 - 中央大,0
1605110,G.キャプラー,ok,True,G.Kapler,1975年7月31日,,ムーアパーク大 - タイガース - レンジャーズ - ロッキーズ - レッドソックス,0
1605111,ミンチェ,ok,True,M.Minchiぇ（shuu,1976年12月1日,,中正高工 - 台湾・台中,0
1605112,三橋　直樹,ok,True,N.Mitsuhashi,1980年12月2日,2005年大学生・社会人ドラフト4巡目,向上高 - 関東学院大 - 日産自動車,0
1605114,松本　哲也,ok,True,T.Matsumoto,1984年7月3日,2006年育成選手ドラフト3巡目,山梨学院大付高 - 専修大,0
1605117,横山　徹也,ok,True,T.Yokoyama,1984年6月26日,2002年ドラフト6巡目,福知山成美高,0
1605118,丈武,ok,True,J.Joubu（morita,1980年11月29日,2008年育成選手ドラフト1位,山梨学院大付高 - 江藤野球塾 - 三菱自動車岡崎 - 米独立リーグ - 四国・香川,0
1605131,J.カスティーヨ,ok,True,J.Castillo,1981年3月19日,,ラスメルセデス高 - パイレーツ - ジャイアンツ - アストロズ - 台湾・統一,0
1605132,平沼　翔太,ok,True,S.Hiranuma,1997年8月16日,2015年ドラフト4位,敦賀気比高,0
1605133,美馬　学,ok,True,M.Mima,1986年9月19日,2010年ドラフト2位,藤代高 - 中央大 - 東京ガス,0
1605134,福永　春吾,ok,True,S.Fukunaga,1994年5月14日,2016年ドラフト6位,クラーク記念国際高 - 関西・06 - 四国・徳島,0
1605135,松田　遼馬,ok,True,R.Matsuda,1994年2月8日,2011年ドラフト5位,波佐見高,0
1605136,福田　周平,ok,True,S.Fukuda,1992年8月8日,2017年ドラフト3位,広陵高 - 明治大 - NTT東日本,0
1605137,D.カブレラ,ok,True,D.Cabrera,1981年5月28日,,ガストンフェルナンドデリネス高 - オリオールズ - ナショナルズ - ダイヤモンドバックス,0
1605138,増田　陸,ok,True,R.Masuda,2000年6月17日,2018年ドラフト2位,明秀学園日立高,0
1605139,吉田　雄人,ok,True,Y.Yoshida,1995年4月21日,2013年ドラフト5位,北照高,0
1605159,日當　直喜,ok,True,N.Hinata,2005年7月6日,2023年ドラフト3位,東海大菅生高,0
1703883,関川　浩一,ok,True,K.Sekikawa,1969年4月1日,1990年ドラフト2位,桐蔭学園高 - 駒沢大,0
1703884,清水　将海,ok,True,M.Shimizu,1975年1月9日,1996年ドラフト1位,東京農大二高 - 青山学院大,0
1703889,玉木　朋孝,ok,True,T.Tamaki,1975年6月13日,1993年ドラフト3位,修徳高,0
1705110,佐藤　剛士,ok,True,T.Satou,1986年5月16日,2004年ドラフト1巡目,秋田商,0
1705112,草野　大輔,ok,True,D.Kusano,1976年12月4日,2005年大学生・社会人ドラフト8巡目,延岡学園高 - NTT東京 - NTT九州 - ホンダ熊本,0
1705114,北　篤,ok,True,A.Kita,1988年11月26日,2006年高校生ドラフト1巡目,小松工,0
1705115,桜井　広大,ok,True,K.Sakurai,1983年7月1日,2001年ドラフト4巡目,PL学園高,0
1705116,小林　太志,ok,True,F.Kobayashi,1983年5月11日,2007年大学生・社会人ドラフト1巡目,富岡高 - 立教大 - JR東日本,0
1705117,木村　昇吾,ok,True,S.Kimura,1980年4月16日,2002年ドラフト11巡目,尽誠学園高 - 愛知学院大,0
1705118,坂田　遼,ok,True,R.Sakata,1986年10月2日,2008年ドラフト4位,横浜創学館高 - 函館大,0
