year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR,K,GIDP
2025,PL,埼玉西武ライオンズ,63165136,與座　海人,Yoza Kaito,16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,-0.21599999999999997,-0.196,,
2025,PL,埼玉西武ライオンズ,63165153,水上　由伸,Mizukami Yoshinobu,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,北海道日本ハムファイターズ,63165155,水野　達稀,Mizuno Tatsuki,100.0,332.0,295.0,32.0,73.0,10.0,7.0,7.0,118.0,39.0,0.0,0,4.0,2.0,21.0,0,10.0,69.0,4.0,0.247,0.317,0.4,0.7170000000000001,49.0,0.15300000000000002,0.07,0.47,6.325301204819277,20.783132530120483,0.30434782608695654,0.2986425339366516,0.24265,450.33333333333337,0.22372881355932203,0.6592920353982301,0.247,73.0,7.0,39.0,100.0,332.0,295.0,49.0,10.0,7.0,32.0,0.317,0.4,21.0,0,10.0,,118.0,0.0,0,4.0,2.0,,38.30135742971885,38.488,,
2025,PL,北海道日本ハムファイターズ,63365155,柳川　大晟,Yanagawa Taisei,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,オリックス・バファローズ,63565155,渡部　遼人,Watanabe Haruto,51.0,14.0,10.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,1.0,0.0,2.0,0,1.0,4.0,0.0,0.2,0.385,0.2,0.585,2.0,0.0,0.185,0.385,14.285714285714285,28.57142857142857,0.5,0.3333333333333333,0.22325,451.6666666666667,0.2,0.625,0.2,2.0,0.0,0.0,51.0,14.0,10.0,2.0,0.0,0.0,9.0,0.385,0.2,2.0,0,1.0,,2.0,0.0,0,1.0,0.0,,1.2439206349206362,1.3080000000000003,,
2025,PL,福岡ソフトバンクホークス,63965134,L.モイネロ,Livan Moinelo,24.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.2,0.2,0.2,0.4,1.0,0.0,0.0,0.2,0.0,60.0,0.0,0.5,0.14,266.6666666666667,0.0,0.25,0.2,1.0,0.0,0.0,24.0,5.0,5.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0,0.0,,1.0,0.0,0,0.0,0.0,,0.09622222222222288,0.11599999999999999,,
2025,PL,東北楽天ゴールデンイーグルス,63965157,M.フランコ,Maikel Franco,101.0,347.0,317.0,21.0,75.0,9.0,0.0,7.0,105.0,32.0,1.0,0,0.0,5.0,24.0,0,1.0,65.0,6.0,0.237,0.288,0.331,0.619,59.0,0.09400000000000003,0.05099999999999999,0.382,6.9164265129683,18.73198847262248,0.36923076923076925,0.272,0.21234999999999998,398.3333333333333,0.17350157728706625,0.5282258064516129,0.237,75.0,7.0,32.0,101.0,347.0,317.0,59.0,9.0,0.0,21.0,0.288,0.331,24.0,0,1.0,,105.0,1.0,0,0.0,5.0,,30.1204008965737,32.07,,
2025,PL,埼玉西武ライオンズ,71075130,髙橋　光成,Takahashi Kouna,24.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,2.0,0.0,0.25,0.25,0.25,0.5,1.0,0.0,0.0,0.25,0.0,40.0,0.0,0.5,0.175,333.3333333333333,0.0,0.3333333333333333,0.25,1.0,0.0,0.0,24.0,5.0,4.0,1.0,0.0,0.0,0.0,0.25,0.25,0.0,0,0.0,,1.0,0.0,0,1.0,0.0,,0.258,0.254,,
2025,PL,埼玉西武ライオンズ,71075139,中村　祐太,Nakamura Yuuta,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,千葉ロッテマリーンズ,71075151,佐藤　都志也,Satou Toshiya,68.0,224.0,198.0,13.0,41.0,8.0,0.0,4.0,61.0,18.0,0.0,0,3.0,1.0,18.0,0,4.0,42.0,1.0,0.207,0.285,0.308,0.593,29.0,0.101,0.07799999999999999,0.386,8.035714285714286,18.75,0.42857142857142855,0.24183006535947713,0.20525,387.6666666666667,0.1919191919191919,0.5253164556962026,0.207,41.0,4.0,18.0,68.0,224.0,198.0,29.0,8.0,0.0,13.0,0.285,0.308,18.0,0,4.0,,61.0,0.0,0,3.0,1.0,,18.366353174603205,19.154,,
