year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR,K,GIDP
2025,CL,読売ジャイアンツ,13115157,三塚　琉生,R.Mitsuka,6.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,-1.2640000000000011,-1.1440000000000001,,
2025,CL,阪神タイガース,13315153,村上　頌樹,S.Murakami,26.0,61.0,53.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0,7.0,0.0,1.0,0,0.0,31.0,1.0,0.075,0.093,0.075,0.16799999999999998,4.0,0.0,0.018000000000000002,0.093,1.639344262295082,50.81967213114754,0.03225806451612903,0.18181818181818182,0.0606,118.0,0.018867924528301886,0.1,0.075,4.0,0.0,0.0,26.0,61.0,53.0,4.0,0.0,0.0,0.0,0.093,0.075,1.0,0,0.0,,4.0,0.0,0,7.0,0.0,,-2.838040072859741,-2.4080000000000004,,
2025,CL,横浜DeNAベイスターズ,13715132,D.ビシエド,D.Viciedo,43.0,90.0,81.0,8.0,21.0,4.0,0.0,2.0,31.0,6.0,0.0,0,0.0,1.0,6.0,0,2.0,8.0,3.0,0.259,0.322,0.383,0.7050000000000001,15.0,0.124,0.063,0.446,6.666666666666667,8.88888888888889,0.75,0.2638888888888889,0.24065,449.6666666666667,0.19753086419753085,0.6190476190476191,0.259,21.0,2.0,6.0,43.0,90.0,81.0,15.0,4.0,0.0,8.0,0.322,0.383,6.0,0,2.0,,31.0,0.0,0,0.0,1.0,,9.636469135802486,9.775999999999998,,
2025,CL,横浜DeNAベイスターズ,13715159,A.ケイ,A.Kay,24.0,49.0,36.0,1.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,0,12.0,0.0,1.0,0,0.0,19.0,0.0,0.111,0.135,0.139,0.274,3.0,0.02800000000000001,0.024000000000000007,0.163,2.0408163265306123,38.775510204081634,0.05263157894736842,0.23529411764705882,0.0955,181.33333333333334,0.05555555555555555,0.1875,0.111,4.0,0.0,2.0,24.0,49.0,36.0,3.0,1.0,0.0,1.0,0.135,0.139,1.0,0,0.0,,5.0,0.0,0,12.0,0.0,,-0.16138321995465077,0.007999999999999563,,
2025,CL,広島東洋カープ,1405116,松山　竜平,R.Matsuyama,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,-0.43333333333333346,-0.45999999999999996,,
2025,CL,広島東洋カープ,1405130,野間　峻祥,T.Noma,79.0,166.0,154.0,10.0,38.0,3.0,2.0,0.0,45.0,15.0,2,0,0.0,1.0,10.0,0,1.0,30.0,3.0,0.247,0.295,0.292,0.587,33.0,0.044999999999999984,0.04799999999999999,0.3399999999999999,6.024096385542169,18.072289156626507,0.3333333333333333,0.304,0.20575,392.3333333333333,0.12337662337662338,0.48739495798319327,0.247,38.0,0.0,15.0,79.0,166.0,154.0,33.0,3.0,2.0,10.0,0.295,0.292,10.0,0,1.0,,45.0,2,0,0.0,1.0,,13.24028647925033,13.420000000000005,,
2025,CL,広島東洋カープ,1405138,林　晃汰,K.Hayashi,22.0,49.0,48.0,2.0,9.0,0.0,0.0,2.0,15.0,4.0,0.0,0,0.0,0.0,1.0,0,0.0,18.0,0.0,0.188,0.204,0.312,0.516,7.0,0.124,0.015999999999999986,0.3279999999999999,2.0408163265306123,36.734693877551024,0.05555555555555555,0.25,0.1698,308.0,0.14583333333333334,0.41025641025641024,0.188,9.0,2.0,4.0,22.0,49.0,48.0,7.0,0.0,0.0,2.0,0.204,0.312,1.0,0,0.0,,15.0,0.0,0,0.0,0.0,,2.6924535147392206,3.066,,
2025,CL,横浜DeNAベイスターズ,1405139,森　唯斗,Y.Mori,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,-0.21599999999999997,-0.196,,
2025,CL,広島東洋カープ,1405155,中村　健人,K.Nakamura,4.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,3.0,0,1.0,1.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.4,0.4,30.0,10.0,3.0,0.0,0.18000000000000002,400.0,0.6666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,4.0,10.0,6.0,0.0,0.0,0.0,1.0,0.4,0.0,3.0,0,1.0,,0.0,1,0,0.0,0.0,,0.8466666666666658,0.9920000000000001,,
2025,CL,読売ジャイアンツ,1505132,オコエ　瑠偉,R.Okoe,61.0,140.0,126.0,12.0,31.0,4.0,2.0,0.0,39.0,5.0,3,3,6.0,0.0,7.0,0,1.0,29.0,1.0,0.246,0.291,0.31,0.601,25.0,0.064,0.044999999999999984,0.355,5.0,20.714285714285715,0.2413793103448276,0.31958762886597936,0.20844999999999997,394.3333333333333,0.11904761904761904,0.5050505050505051,0.246,31.0,0.0,5.0,61.0,140.0,126.0,25.0,4.0,2.0,12.0,0.291,0.31,7.0,0,1.0,,39.0,3,3,6.0,0.0,,11.007944444444462,10.847999999999999,,
