npb_player_id,name_ja,name_en,name_en_full,name_en_short,team,team_code,position,uniform_no,throw_hand,bat_hand,is_new_2026
13115150,宮原 駿介,Miyahara Shunsuke,Miyahara Shunsuke,S.Miyahara,読売ジャイアンツ,G,投手,,L,L,0
31835157,船迫 大雅,Funabasama Hiromasa,Funabasama Hiromasa,H.Funabasama,読売ジャイアンツ,G,投手,,R,L,0
81885138,横川 凱,Yokogawa Kai,Yokogawa Kai,K.Yokogawa,読売ジャイアンツ,G,投手,,L,L,0
01105138,泉 圭輔,Izumi Keisuke,Izumi Keisuke,K.Izumi,読売ジャイアンツ,G,投手,,R,R,0
53555155,山田 龍聖,Yamada Ryusei,Yamada Ryusei,R.Yamada,読売ジャイアンツ,G,投手,,L,L,0
61165153,石川 達也,Ishikawa Tatsuya,Ishikawa Tatsuya,T.Ishikawa,読売ジャイアンツ,G,投手,,L,R,0
21625151,堀田 賢慎,Hotta Kenshin,Hotta Kenshin,K.Hotta,読売ジャイアンツ,G,投手,,R,R,0
23925134,Ｒ．マルティネス,Raidel Martinez,Raidel Martinez,R.Martinez,読売ジャイアンツ,G,投手,,R,L,0
51355151,井上 温大,Inoue Haruto,Inoue Haruto,H.Inoue,読売ジャイアンツ,G,投手,,L,L,0
91595133,甲斐 拓也,Kai Takuya,Kai Takuya,T.Kai,読売ジャイアンツ,G,捕手,,R,R,0
91795139,小林 誠司,Kobayashi Seiji,Kobayashi Seiji,S.Kobayashi,読売ジャイアンツ,G,捕手,,R,R,0
21325136,大城 卓三,Ohshiro Takumi,Ohshiro Takumi,T.Ohshiro,読売ジャイアンツ,G,捕手,,R,L,0
91595136,岸田 行倫,Kishida Yukinori,Kishida Yukinori,Y.Kishida,読売ジャイアンツ,G,捕手,,R,R,0
91795134,郡 拓也,Kohri Takuya,Kohri Takuya,T.Kohri,読売ジャイアンツ,G,捕手,,R,R,0
03105151,山瀬 慎之助,Yamase Shinnosuke,Yamase Shinnosuke,S.Yamase,読売ジャイアンツ,G,捕手,,R,R,0
43145136,湯浅 大,Yuasa Dai,Yuasa Dai,D.Yuasa,読売ジャイアンツ,G,内野手,,R,R,0
51855132,増田 大輝,Masuda Daiki,Masuda Daiki,D.Masuda,読売ジャイアンツ,G,内野手,,R,R,0
73375134,吉川 尚輝,Yoshikawa Naoki,Yoshikawa Naoki,N.Yoshikawa,読売ジャイアンツ,G,内野手,,R,L,0
11515157,門脇 誠,Kadowaki Makoto,Kadowaki Makoto,M.Kadowaki,読売ジャイアンツ,G,内野手,,R,L,0
51955114,坂本 勇人,Sakamoto Hayato,Sakamoto Hayato,H.Sakamoto,読売ジャイアンツ,G,内野手,,R,R,0
61165150,石塚 裕惺,Ishizuka Yusei,Ishizuka Yusei,Y.Ishizuka,読売ジャイアンツ,G,内野手,,R,R,0
63565152,Ｂ．ダルベック,Bobby Dalbec,Bobby Dalbec,B.Dalbec,読売ジャイアンツ,G,内野手,,R,R,0
81385150,浦田 俊輔,Urata Shunsuke,Urata Shunsuke,S.Urata,読売ジャイアンツ,G,内野手,,R,L,0
61765152,小濱 佑斗,Kohama Yuto,Kohama Yuto,Y.Kohama,読売ジャイアンツ,G,内野手,,R,R,0
61165159,泉口 友汰,Izuguchi Yuta,Izuguchi Yuta,Y.Izuguchi,読売ジャイアンツ,G,内野手,,R,L,0
11015136,リチャード,Sunagawa Richard,Sunagawa Richard,R.Sunagawa,読売ジャイアンツ,G,内野手,,R,R,0
71175150,荒巻 悠,Aramaki Yu,Aramaki Yu,Y.Aramaki,読売ジャイアンツ,G,内野手,,R,L,0
